,Rank,Player,Sleeper Count,Overrated Count,Experts
126,122,Bryce Harper,,,
127,123,Gleyber Torres,,,
128,124,Chris Bassitt,,,
129,125,Kris Bryant,,,
130,126,Nick Lodolo,,,
131,127,Anthony Rizzo,,,
132,128,CJ Cron,,,
133,129,Sean Murphy,1,,Melchior
134,130,William Contreras,,,
135,130,William Contreras,,,
136,130,William Contreras,,,
137,130,William Contreras,,,
138,131,Tony Gonsolin,1,,Salfino
139,132,Nick Castellanos,,,
140,133,Taylor Ward,,,
141,134,Lance Lynn,1,,Salfino
142,135,Amed Rosario,,,
143,136,Max Muncy,,,
144,137,Clay Holmes,,,
145,138,David Bednar,,,
146,139,Jesus Luzardo,,,
147,140,Freddy Peralta,,,
148,141,Andrew Vaughn,,1,Melchior
149,142,Scott Barlow,,,
150,143,Eugenio Suarez,,,
151,144,Hunter Renfroe,,,
152,145,Daniel Bard,,,
153,146,Lucas Giolito,,,
154,147,Dustin May,1,,Sarris
155,148,Joe Ryan,,,
156,149,Jose Miranda,,,
157,150,Brandon Lowe,,,
158,151,Chris Sale,,,
159,152,Pablo Lopez,1,,Melchior
160,153,Jhoan Duran,,,
161,154,Jorge Polanco,,,
162,155,Mitch Haniger,,,
163,156,Alexis Diaz,,,
164,157,Matt Chapman,,,
165,158,Jordan Montgomery,1,,Salfino
166,159,Ian Happ,,,
167,160,Rowdy Tellez,,,
168,161,Ty France,,,
169,162,Charlie Morton,,,
170,163,Brandon Nimmo,,,
171,164,Jake Cronenworth,,,
172,165,Vaughn Grissom,,,
173,166,Jeffrey Springs,1,,Salfino
174,167,Andres Munoz,1,,Sarris
175,168,Ryan Mountcastle,1,,Salfino
176,169,Tyler Stephenson,,,
177,170,Cal Raleigh,,,
178,171,Josh Bell,1,,Salfino
179,172,Paul Sewald,,,
180,173,Liam Hendriks,,,
181,174,Javier Baez,,,
182,175,Cody Bellinger,,,
183,176,Drew Rasmussen,,,
184,177,Alex Verdugo,,,
185,178,Grayson Rodriguez,,,
186,179,Oscar Gonzalez,,1,Melchior
187,180,Alec Bohm,,,
188,181,Jeff McNeil,,,
189,182,Brady Singer,,,
190,183,Lance McCullers ,,,
191,184,Riley Greene,,,
192,185,Whit Merrifield,,,
193,186,Nico Hoerner,,,
194,187,Brandon Drury,,,
195,188,JD Martinez,,,
196,189,Lars Nootbaar,,,
197,190,Merrill Kelly,,,
198,191,DJ LeMahieu,,,
199,192,Jonathan India,1,,Sarris
200,193,Pete Fairbanks,,,
201,194,Masataka Yoshida,,,
202,195,Ketel Marte,1,,Sarris
203,196,KeBryan Hayes,,,
204,197,Harrison Bader,,,
205,198,Thairo Estrada,,,
206,199,Patrick Sandoval,1,,Salfino
207,200,Luis Arraez,,,
208,201,Triston Casas,,,
209,202,Jon Gray,1,,Salfino
210,203,Danny Jansen,,,
211,204,Jose Leclerc,,,
212,205,Joey Meneses,,,
213,206,Keibert Ruiz,1,,Salfino
214,207,Tyler Anderson,,,
215,208,Jack Flaherty,,,
216,209,Jose Berrios,,,
217,210,Trevor Story,,,
218,211,Anthony Rendon,,,
219,212,Josh Rojas,,,
220,213,Miles Mikolas,,,
221,214,Craig Kimbrel,,,
222,215,Andrew Heaney,1,,Salfino
223,216,Alex Cobb,1,,Salfino
224,217,Josh Naylor,,,
225,218,Edward Cabrera,1,,Salfino
226,219,Reid Detmers,,,
227,220,Adalberto Mondesi,,,
228,221,Ryan McMahon,,,
229,222,Seth Brown,,,
230,223,Ranger Suarez,,,
231,224,Josh Jung,,,
232,225,Brendan Rodgers,,,
233,226,Andrew Benintendi,,,
234,227,Travis dArnaud,,,
235,228,Justin Turner,,,
236,229,Jose Urquidy,,,
237,230,Nathan Eovaldi,,,
238,231,Sonny Gray,,,
239,232,Evan Phillips,,,
240,233,Joc Pederson,,,
241,234,Jesse Winker,1,,Melchior
242,235,Jorge Lopez,,,
243,236,Jordan Walker,,,
244,237,Kendall Graveman,,,
245,238,Jorge Mateo,,,
246,239,Gavin Lux,,,
247,240,Kolten Wong,,,
248,241,Jameson Taillon,,,
249,242,Michael Conforto,,,
250,243,Lourdes Gurriel ,,1,Melchior
251,244,Ezequiel Tovar,,,
252,245,Tyler Mahle,,,
253,246,Aaron Ashby,,,
254,247,Jean Segura,,,
255,248,Sean Manaea,,,
256,249,Frankie Montas,,,
257,250,Hunter Brown,1,,Sarris
258,251,Ramon Laureano,,,
259,252,Francisco Alvarez,1,,Salfino
260,253,CJ Abrams,,,
261,254,Adam Wainwright,,1,Salfino
262,255,Carlos Carrasco,1,,Salfino
263,256,Bryan De La Cruz,1,,Salfino
264,257,Trey Mancini,,,
265,258,Michael Kopech,,,
266,259,Christian Vazquez,,,
267,260,Jon Berti,,,
268,261,Luis Urias,,,
269,262,Alex Lange,,,
270,263,Cal Quantrill,,1,Salfino
271,264,Seranthony Dominguez,1,,Sarris
272,265,Gabriel Moreno,1,,Melchior
273,266,Austin Hays,,1,Melchior
274,267,Christopher Morel,,,
275,268,Gregory Soto,,,
276,269,Marcus Stroman,,,
277,270,Bryson Stott,,1,Melchior
278,271,Dylan Floro,,,
279,272,Giovanny Gallegos,,,
280,273,Ross Stripling,1,,Melchior
281,274,Austin Meadows,,,
282,275,Garrett Whitlock,,,
283,276,Esteury Ruiz,,,
284,277,Trevor Rogers,,,
285,278,Jonah Heim,,,
286,279,Charlie Blackmon,,,
287,280,Martin Perez,,,
288,281,Yasmani Grandal,,,
289,282,Wil Myers,1,,Melchior
290,283,Brendan Donovan,,,
291,284,Kodai Senga,,,
292,285,Spencer Torkelson,,,
293,286,Aroldis Chapman,1,,Sarris
294,287,Andrew McCutchen,,,
295,288,Mike Yastrzemski,,,
296,289,Miguel Vargas,,,
297,290,Taijuan Walker,,,
298,291,Brandon Marsh,,,
299,292,Yandy Diaz,,,
300,293,Walker Buehler,,,
301,294,Rafael Montero,,,
302,295,HaSeong Kim,,,
303,296,Oscar Colas,,,
304,297,Jarred Kelenic,,,
305,298,Logan OHoppe,,,
306,299,Nolan Gorman,,,
307,300,Justin Steele,,,
308,301,Oswald Peraza,,,
309,302,Taylor Rogers,,,
310,303,Yoan Moncada,,,
311,304,Roansy Contreras,1,,Sarris
312,305,Jared Walsh,,,
313,306,Joey Gallo,,,
314,307,Randal Grichuk,,1,Melchior
315,308,Mark Canha,,,
316,309,Brayan Bello,,,
317,310,Joey Bart,,,
318,311,Noah Syndergaard,,,
319,312,Mike Clevinger,,,
320,313,Marcell Ozuna,1,,Salfino
321,314,Oswaldo Cabrera,,,
322,315,Eric Haase,,,
323,316,Alex Kirilloff,,,
324,317,Jason Adam,1,,Sarris
325,318,Eduardo Escobar,,,
326,319,Dylan Carlson,,,
327,320,Garrett Mitchell,,,
328,321,Aaron Civale,,,
329,322,Corey Kluber,,,
330,323,Chris Taylor,,,
331,324,Trent Grisham,,,
332,325,Carlos Estevez,,,
333,326,Gio Urshela,,,
334,327,Jose Quintana,,,
335,327,Jose Quintana,,,
336,327,Jose Quintana,,,
337,327,Jose Quintana,,,
338,327,Jose Quintana,,,
339,327,Jose Quintana,,,
340,327,Jose Quintana,,,
341,327,Jose Quintana,,,
342,328,Jose Trevino,,,
343,329,Kike Hernandez,,,
344,330,Myles Straw,,,
345,331,Michael Brantley,,,
346,332,Andrew Painter,,,
347,333,Kenta Maeda,,,
348,334,Eric Lauer,,,
349,335,Josh Donaldson,,,
350,336,Jorge Soler,,1,Melchior
351,337,Adam Duvall,,,
352,338,Joey Votto,,,
353,339,Luis Rengifo,,,
354,340,Eduardo Rodriguez,,,
355,341,JP Crawford,,,
356,342,Brandon Hughes,,,
357,343,Zach Eflin,,,
358,344,German Marquez,,,
359,345,Mike Soroka,,,
360,346,Jimmy Herget,,,
361,347,Patrick Wisdom,,,
362,348,Kyle Finnegan,,,
363,349,Matt Carpenter,,,
364,350,AJ Minter,,,
365,351,Michael Wacha,,1,
366,352,Trevor Bauer,,,
367,353,Austin Nola,,,
368,354,Anthony Volpe,,,
369,355,James Karinchak,,,
370,356,Daniel Hudson,,,
371,357,Joey Wendle,,,
372,358,Tarik Skubal,,,
373,359,Brandon Crawford,,,
374,360,Luke Voit,,,
375,361,Ian Anderson,,,
376,362,Yuli Gurriel,,,
377,363,Nelson Cruz,,,
378,364,Eric Hosmer,,,
379,365,Isiah KinerFalefa,,,
380,366,Gary Sanchez,,,
381,367,Adam Frazier,,,
382,368,Bo Naylor,,,
383,369,Hunter Dozier,,,
384,370,Drey Jameson,,,
385,371,Shea Langeliers,,,
386,372,Tommy Pham,,,
387,373,Bailey Ober,,,
388,374,Luis Garcia,,,
389,374,Luis Garcia,,,
390,374,Luis Garcia,,,
391,374,Luis Garcia,,,
392,374,Luis Garcia,,,
393,374,Luis Garcia,,,
394,374,Luis Garcia,,,
395,374,Luis Garcia,,,
396,375,Marco Gonzales,,,
397,375,Marco Gonzales,,,
398,376,Jonathan Schoop,,,
399,377,Mark Melancon,,,
400,378,Brandon Belt,1,,Melchior
401,379,Nick Pivetta,,,
402,380,Nicky Lopez,,,
403,381,Jake Fraley,,,
404,382,Eddie Rosario,,,
405,383,MacKenzie Gore,,,
406,384,James Outman,,,
407,385,Isaac Paredes,,,
408,386,Manuel Margot,,,
409,387,Elias Diaz,,,
410,388,Yusei Kikuchi,,,
411,389,Tylor Megill,1,,Sarris
412,390,Avisail Garcia,,,
413,391,Juan Yepez,,,
414,392,David Robertson,,,
415,393,Alex Wood,,,
416,394,Mitch Garver,,,
417,395,Christian Bethancourt,,,
418,396,Nick Gordon,,,
419,397,Max Kepler,,,
420,398,Robert Suarez,,,
421,399,Domingo German,,,
422,400,Tanner Houck,,,
423,401,Trevor May,,,
424,402,Cavan Biggio,,,
425,403,Brusdar Graterol,,,
426,404,Kyle Farmer,,,
427,405,Franmil Reyes,,,
428,406,Johnny Cueto,,,
429,407,Carson Kelly,,,
430,408,Carlos Santana,,,
431,409,John Schreiber,,,
432,410,Jurickson Profar,,,
433,411,Josiah Gray,,,
434,412,AJ Pollock,,,
435,413,Jonathan Loaisiga,,,
436,414,Matt Mervis,,,
437,415,Michael Massey,,,
438,416,Trayce Thompson,,,
439,417,Kyle Gibson,1,,Sarris
440,418,Endy Rodriguez,,,
441,419,Jeimer Candelario,,,
442,420,Harold Ramirez,,,
443,421,Lane Thomas,,,
444,422,Elly De La Cruz,,,
445,423,Hayden Wesneski,1,,Sarris
446,424,Christian Arroyo,1,,Salfino
447,425,Adam Ottavino,,,
448,426,Santiago Espinal,,,
449,427,Spencer Steer,,,
450,428,Shane Baz,,,
451,429,Dylan Moore,,,
452,430,Wilmer Flores,,,
453,431,Zach Plesac,,,
454,432,Royce Lewis,,,
455,433,Braxton Garrett,1,,Sarris
456,434,Bobby Dalbec,,,
457,435,Mike Zunino,,,
458,436,Joe Barlow,,,
459,437,Luis Garcia,,,
460,437,Luis Garcia,,,
461,437,Luis Garcia,,,
462,437,Luis Garcia,,,
463,437,Luis Garcia,,,
464,437,Luis Garcia,,,
465,437,Luis Garcia,,,
466,437,Luis Garcia,,,
467,438,Chris Flexen,,,
468,439,Brandon Pfaadt,,,
469,440,Jose Alvarado,,,
470,440,Jose Alvarado,,,
471,441,Hyun Jin Ryu,,,
472,442,Luis Garcia,,,
473,442,Luis Garcia,,,
474,442,Luis Garcia,,,
475,442,Luis Garcia,,,
476,442,Luis Garcia,,,
477,442,Luis Garcia,,,
478,442,Luis Garcia,,,
479,442,Luis Garcia,,,
480,443,Mitch Keller,1,,Sarris
481,444,Matthew Boyd,,,
482,445,Yan Gomes,,,
483,446,David Peterson,,,
484,447,Cole Irvin,,,
485,448,Kyle Hendricks,,,
486,449,Brian Anderson,,,
487,450,Shintaro Fujinami,1,,Sarris
488,451,Jesus Sanchez,,,
489,452,Ken Waldichuk,1,,Sarris
490,453,Alek Thomas,,,
491,454,Lou Trivino,,,
492,455,Zack Greinke,,,
493,456,Nick Fortes,,,
494,457,Brock Burke,,,
495,458,Jack Suwinski,,,
496,459,Bubba Thompson,,,
497,460,Brett Baty,,,
498,461,Matt Barnes,,,
499,462,Elvis Andrus,,,
500,463,Steven Matz,,,
501,464,Jose Suarez,,,
502,465,Michael King,,,
503,466,Cesar Hernandez,,,
504,467,David Fletcher,,,
505,468,Tony Kemp,,,
506,469,Nick Martinez,,,
507,470,Kerry Carpenter,,,
508,471,Spencer Turnbull,,,
509,472,Blake Treinen,,,
510,473,Jackson Chourio,,,
511,474,Diego Castillo,,,
512,474,Diego Castillo,,,
513,475,Chas McCormick,,,
514,476,Rodolfo Castro,,,
515,477,Hector Neris,,,
516,478,JD Davis,,,
517,479,Madison Bumgarner,,,
518,480,Anthony DeSclafani,,,
519,481,Robbie Grossman,,,
520,482,AJ Puk,,,
521,483,Ramon Urias,,,
522,484,Andrew Kittredge,,,
523,485,Jo Adell,,,
524,486,Bailey Falter,,,
525,487,Daniel Vogelbach,,,
526,488,Collin McHugh,,,
527,489,Tyrone Taylor,,,
528,490,Rich Hill,,,
529,491,JiMan Choi,,,
530,492,Akil Baddoo,,,
531,493,Drew Smyly,,,
532,494,JT Brubaker,,,
533,495,Nolan Jones,,,
534,496,Domingo Acevedo,,,
535,497,Miguel Cabrera,,,
536,498,Patrick Corbin,,,
537,499,John Means,,,
538,500,Miguel Sano,,,
539,501,Keegan Thompson,,,
540,502,Matt Brash,1,,Sarris
541,503,Kevin Kiermaier,,,
542,504,Keston Hiura,,,
543,505,Kevin Newman,,,
544,506,Tyler Rogers,,,
545,507,Gavin Stone,,,
546,508,Luis Campusano,,,
547,509,Omar Narvaez,,,
548,510,Graham Ashcraft,1,,Sarris
549,511,Bryce Elder,,,
550,512,Bryan Abreu,1,,Sarris
551,513,Sixto Sanchez,,,
552,514,Ji Hwan Bae,,,
553,515,Jarren Duran,,,
554,516,Victor Robles,,,
555,517,Miguel Rojas,,,
556,518,Kyle Bradish,1,,Sarris
557,519,Paul Blackburn,,,
558,520,Jose Siri,,,
559,521,LaMonte Wade ,,,
560,522,Ryan Pepiot,,,
561,523,Casey Mize,,,
562,524,Bobby Miller,,,
563,525,James Kaprielian,,,
564,526,Kyle Stowers,,,
565,527,Edward Olivares,,,
566,528,Wade Miley,,,
567,529,Ricky Tiedemann,,,
568,530,Jonathan Villar,,,
569,531,Jesus Aguilar,,,
570,532,James Paxton,,,
571,533,Nick Pratto,,,
572,534,Leody Taveras,,,
573,535,Darick Hall,,,
574,536,Cody Morris,,,
575,537,Aledmys Diaz,,,
576,538,Erik Swanson,,,
577,539,Martin Maldonado,,,
578,540,Luis Patino,,,
579,541,Nick Solak,,,
580,542,Aaron Hicks,,,
581,543,Seth Lugo,,,
582,544,Matt Manning,,,
583,545,Evan Longoria,,,
584,546,TJ Friedl,,,
585,547,Zac Veen,,,
586,548,Drew Waters,,,
587,549,Andrew Chafin,,,
588,550,Taylor Walls,,,
589,551,Dean Kremer,,1,Salfino
590,552,Ryne Nelson,1,,Sarris
591,553,Max Stassi,,,
592,554,Didi Gregorius,,,
593,555,Stephen Strasburg,,,
594,556,Tom Murphy,,,
595,557,DL Hall,1,,Sarris
596,558,David Peralta,,,
597,559,JP Sears,,,
598,560,Dany Jimenez,,,
599,561,Michael Lorenzen,,,
600,562,Jonathan Aranda,,,
601,563,Adbert Alzolay,,,
602,564,Edouard Julien,,,
603,565,Kyle Harrison,,,
604,566,Will Smith,,,
605,567,Dominic Smith,1,,Melchior
606,568,Mike Moustakas,,,
607,569,Cade Cavalli,,,
608,570,Tyler Naquin,,,
609,571,Kyle Higashioka,,,
610,572,Will Brennan,,,
611,573,Garrett Cooper,,,
612,574,David Villar,,,
613,575,Gavin Sheets,,,
614,576,Jackson Holliday,,,
615,577,Dylan Bundy,,,
616,578,Josh Lowe,,,
617,579,Matt Bush,1,,Sarris
618,580,Elieser Hernandez,,,
619,581,Tyler Wells,1,,Sarris
620,582,Jordan Hicks,,,
621,583,Sal Frelick,,,
622,584,Kyle Muller,,,
623,585,Chad Green,,,
624,586,Brennen Davis,,,
625,587,Ryan Jeffers,,,
626,588,Corey Knebel,,,
627,589,Jordan Lyles,,,
628,590,JP Feyereisen,,,
629,591,Nick Senzel,,,
630,592,Anthony Bass,,,
631,593,Vidal Brujan,,,
632,594,Brooks Raley,,,
633,595,Kyle Manzardo,,,
634,596,Brad Boxberger,,,
635,597,Adam Cimber,,,
636,598,Jake Odorizzi,,,
637,599,Edmundo Sosa,,,
638,600,Abraham Toro,,,
639,601,Nick Ahmed,,,
640,602,Pavin Smith,,,
641,603,Francisco Mejia,,,
642,604,Trevor Larnach,,,
643,605,Kyle Lewis,,,
644,606,Brice Turang,,,
645,607,Taj Bradley,,,
646,608,Tucker Barnhart,,,
647,609,Austin Barnes,,,
648,610,Joey Wentz,,,
649,611,Elehuris Montero,,,
650,612,James McCann,,,
651,613,Nate Pearson,,,
652,614,Dakota Hudson,,,
653,615,Garrett Hampson,,,
654,616,Hanser Alberto,,,
655,617,Rougned Odor,,,
656,618,Daniel Lynch,,,
657,619,Jace Peterson,,,
658,620,Kyle Freeland,,,
659,621,Masyn Winn,,,
660,622,Daniel Espino,,,
661,623,Nick Madrigal,,,
662,624,Connor Joe,,,
663,625,Glenn Otto,,,
664,626,Eury Perez,,,
665,627,Jorge Alfaro,,,
666,628,Reynaldo Lopez,,,
667,629,JJ Bleday,,,
668,630,Yonathan Daza,1,,Salfino
669,631,Miguel Andujar,,,
670,632,Tanner Scott,,,
671,633,Matt Wallner,,,
672,634,Jake Burger,,,
673,635,Dane Dunning,,,
674,636,Johan Oviedo,,,
675,637,Jakob Junis,,,
676,638,Josh Harrison,,,
677,639,Michael Toglia,,,
678,640,Adrian Morejon,,,
679,641,Curtis Mead,,,
680,642,Matthew Liberatore,,,
681,643,Willi Castro,,,
682,644,Jose Iglesias,,,
683,645,Frank Schwindel,,,
684,646,Jake Cave,,,
685,647,Alex Colome,,,
686,648,Huascar Ynoa,,,
687,649,Yimi Garcia,,,
688,650,Jordan Diaz,,,
689,651,Jose Barrero,,,
690,652,Stone Garrett,,,
691,653,Max Meyer,,,
692,654,Tomas Nido,,,
693,655,Jake McGee,,,
694,656,Brad Keller,,,
695,657,Jacob Stallings,,,
696,658,Amir Garrett,,,
697,659,Alex Reyes,,,
698,660,Kevin Ginkel,,,
699,661,Reese McGuire,,,
700,662,Matt Vierling,1,,Salfino
701,663,Ezequiel Duran,,,
702,664,Geraldo Perdomo,,,
703,665,Yonny Chirinos,,,
704,666,Raimel Tapia,,,
705,667,Luis Guillorme,,,
706,668,Clarke Schmidt,1,,Sarris
707,669,Chris Martin,,,
708,670,Jonathan Hernandez,,,
709,671,Joe Mantiply,,,
710,672,Colton Cowser,,,
711,673,Austin Slater,,,
712,674,Luis Gil,,,
713,675,Nick Allen,,,
714,676,Alan Trejo,,,
715,677,Edwin Rios,,,
716,678,Connor Norby,,,
717,679,Chris Paddack,,,
718,680,Austin Voth,,,
719,681,Joe Jimenez,,,
720,682,Chase Silseth,,,
721,683,Zach McKinstry,,,
722,684,Adrian Sampson,,1,Salfino
723,685,Xzavion Curry,,,
724,686,Willie Calhoun,,,
725,687,Alec Burleson,,,
726,688,Kutter Crawford,,,
727,689,Alex Vesia,,,
728,690,Brad Hand,,,
729,691,Josh Winder,,,
730,691,Josh Winder,,,
731,691,Josh Winder,,,
732,691,Josh Winder,,,
733,691,Josh Winder,,,
734,691,Josh Winder,,,
735,691,Josh Winder,,,
736,691,Josh Winder,,,
737,692,Dylan Coleman,,,
738,693,Brett Phillips,,,
739,694,Michael Busch,,,
740,695,Owen Miller,,,
741,696,Sean Bouchard,,,
742,697,Emmanuel Rivera,,,
743,698,Pedro Severino,,,
744,699,Freddy Fermin,,,
745,700,Jordan Lawlar,,,
746,701,Yainer Diaz,,,
747,702,Cal Mitchell,,,
748,703,Tommy Henry,,,
749,704,Drew Smith,,,
750,705,Dillon Tate,,,
751,706,Javier Assad,,,
752,707,Dinelson Lamet,,,
753,708,Hunter Harvey,,,
754,709,Kris Bubic,,,
755,710,Jeremiah Estrada,1,,Sarris
756,711,Zach Jackson,,,
757,712,Tanner Bibee,,,
758,713,Kyle Isbel,,,
759,714,Harold Castro,,,
760,715,Jordan Westburg,,,
761,716,Louie Varland,,,
762,717,Conner Capel,,,
763,718,Drew Hutchison,,,
764,719,Joey Ortiz,,,
765,720,Jordan Groshans,,,
766,721,Griffin Jax,,,
767,722,Tejay Antone,,,
768,723,Jack Leiter,,,
769,724,Gavin Williams,,,
770,725,Adrian Houser,,,
771,726,Josh Smith,,,
772,727,Mark Mathias,,,
773,728,Victor Caratini,,,
774,729,Ryan Tepera,,,
775,730,Moises Gomez,,,
776,731,Trevor Stephan,,,
777,732,Nate Eaton,,,
778,733,Sam Huff,,,
779,734,Gabriel Arias,,,
780,735,Addison Barger,,,
781,736,Carter Kieboom,,,
782,737,Trevor Williams,,,
783,738,Mickey Moniak,,,
784,739,Bryse Wilson,,,
785,740,Cristian Pache,,,
786,741,Emerson Hancock,,,
787,742,Rafael Ortega,,,
788,743,Matt Wisler,,,
789,744,Livan Soto,,,
790,745,Marco Luciano,,,
791,746,Tommy Kahnle,,,
792,747,Noelvi Marte,,,
793,748,Lucas Sims,,,
794,749,Eguy Rosario,,,
795,750,Connor Wong,,,
796,751,Ryan Yarbrough,1,,Melchior
797,752,Jeurys Familia,,,
798,753,Sam Haggerty,,,
799,754,Ryan Feltner,,,
800,755,Colin Moran,,,
801,756,Tucker Davidson,,,
802,757,Rowan Wick,,,
803,758,Alexander Canario,,,
804,759,Manuel Rodriguez,,,
805,760,Michael Pineda,,,
806,761,Beau Brieske,,,
807,762,Danny Mendick,,,
808,763,Orlando Arcia,,,
809,764,Zach Davies,,,
810,765,Paolo Espino,,,
811,766,Joey Wiemer,,,
812,767,Eli Morgan,,,
813,768,Nelson Velazquez,,,
814,769,Ben Gamel,,,
815,770,Jeter Downs,,,
816,771,Michael Fulmer,,,
817,772,Kyle Nelson,,,
818,773,Seby Zavala,,,
819,774,Luis Ortiz,,,
820,774,Luis Ortiz,,,
821,775,Andrew Knizner,,,
822,776,Jonathan Heasley,,,
823,777,Robert Hassell I,,,
824,778,Matt Moore,,,
825,779,Andy Ibanez,,,
826,780,Jake Alu,,,
827,781,Garrett Crochet,,,
828,782,Joey Lucchesi,,,
829,783,Maikel Garcia,,,
830,784,Mark Vientos,,,
831,785,Jake Diekman,,,
832,786,Jake Meyers,,,
833,787,Austin Wells,,,
834,788,George Valera,,,
835,789,Spencer Horwitz,,,
836,790,Austin Martin,,,
837,791,Jorge Alcala,,,
838,792,Kyle Garlick,,,
839,793,Paul DeJong,,,
840,794,Alex Call,,,
841,795,Taylor Trammell,,,
842,796,Mick Abel,,,
843,797,Enmanuel Valdez,,,
844,798,Carl Edwards ,,,
845,799,Tyler Soderstrom,,,
846,800,Shelby Miller,,,
847,801,Diego Cartaya,,,
848,802,Austin Hedges,,,
849,803,PJ Higgins,,,
850,804,Luis Gonzalez,,,
851,805,Will Benson,,,
852,806,Michael Grove,,,
853,807,Brad Miller,,,
854,808,Quinn Priester,,,
855,809,Yency Almonte,,,
856,810,Kevin Smith,,,
857,811,Davis Martin,,,
858,812,Cooper Hummel,,,
859,813,Dustin Harris,,,
860,814,Michael Chavis,,,
861,815,Ivan Herrera,,,
862,816,Sam Hilliard,,,
863,817,Keegan Akin,,,
864,818,Terrin Vavra,,,
865,819,Sam Hentges,,,
866,820,Zack Gelof,,,
867,821,Miles Mastrobuoni,,,
868,822,Ethan Small,,,
869,823,Jake Eder,,,
870,824,Korey Lee,,,
871,825,Dermis Garcia,,,
