"Name","Team","PA","HR","SB","BABIP+","K%+","BB%+","ISO+","wRC+","Barrels","OPS","xwOBA","Barrel%","Off","maxEV","playerid"
"Michael Stefanic","LAA","69","0","0","85","78","91","22","50","1",".509",".266","2.0%","-3.8","104.2","25353"
"Andrew Velazquez","LAA","349","9","17","95","153","54","73","50","14",".540",".246","6.6%","-15.1","109.1","14196"
"Kyle Lewis","SEA","62","3","0","51","138","101","108","56","4",".529",".300","10.8%","-4.0","110.0","19508"
"Jarred Kelenic","SEA","181","7","5","58","152","111","115","55","14",".534",".269","13.6%","-9.6","114.0","22558"
"Jerar Encarnacion","MIA","81","3","2","88","175","44","101","51","3",".548",".231","6.5%","-4.2","109.3","21871"
"Yadier Molina","STL","270","5","2","80","66","22","57","51","7",".535",".254","3.1%","-19.7","107.8","7007"
"Justin Upton","SEA","57","1","0","72","182","132","56","51","1",".471",".249","4.0%","-4.9","105.3","5222"
"Bligh Madris","PIT","123","1","2","81","111","97","57","45","4",".509",".262","4.9%","-7.4","109.1","20054"
"Jed Lowrie","OAK","184","3","1","73","95","102","56","51","4",".508",".247","3.1%","-10.9","105.9","4418"
"Michael Perez","- - -","132","6","1","50","107","91","96","44","7",".511",".276","7.8%","-9.1","105.3","12977"
"Aramis Garcia","CIN","115","1","0","103","131","31","30","36","2",".507",".247","2.6%","-10.7","108.9","16925"
"Lewin Diaz","MIA","174","5","1","73","137","76","77","45","6",".512",".219","5.6%","-11.7","112.0","18365"
"Erik Gonzalez","MIA","41","0","1","96","129","117","17","45","0",".485",".263","0.0%","-2.4","108.7","13369"
"Kevin Smith","OAK","151","2","4","82","125","58","82","48","8",".518",".239","7.8%","-9.5","110.1","20242"
"Austin Hedges","CLE","338","7","2","67","104","93","57","42","7",".489",".240","3.1%","-25.8","107.1","12976"
"Josh Palacios","WSN","49","0","1","107","135","24","27","39","0",".500",".225","0.0%","-2.5","104.0","19818"
"Cal Stevenson","OAK","71","0","1","91","146","142","33","47","2",".478",".277","5.0%","-4.3","102.8","22411"
"Chad Wallach","LAA","40","1","0","55","101","126","77","39","2",".488",".332","7.4%","-2.9","106.2","17161"
"Jack Mayfield","LAA","74","1","1","80","103","51","57","39","1",".501",".221","1.9%","-5.5","103.6","15402"
"Mickey Moniak","- - -","112","3","1","88","175","43","88","39","5",".509",".203","7.9%","-6.6","107.9","19956"
"Patrick Mazeika","NYM","72","1","0","71","55","33","66","45","2",".508",".218","3.3%","-4.7","102.2","18142"
"Ehire Adrianza","- - -","110","0","1","80","101","120","20","38","1",".470",".274","1.4%","-7.2","104.2","8418"
"Travis Jankowski","- - -","64","0","3","69","69","150","0","45","0",".445",".259","0.0%","-3.5","102.3","13768"
"Leury Garcia","CHW","315","3","2","88","93","28","38","39","10",".500",".258","4.2%","-19.5","109.2","5913"
"Yoshi Tsutsugo","PIT","193","2","0","76","115","118","38","38","7",".478",".254","5.6%","-14.5","107.4","27459"
"Kody Clemens","DET","127","5","1","51","117","79","109","40","5",".505",".249","5.8%","-7.5","108.9","20572"
"Vidal Brujan","TBR","162","3","5","67","103","93","64","43","3",".487",".236","2.7%","-11.1","104.0","20536"
"Mike Zunino","TBR","123","5","0","64","168","61","105","43","6",".499",".252","8.6%","-7.9","115.0","13265"
"Ryan Kreidler","DET","84","1","0","80","118","90","37","38","4",".477",".273","7.3%","-5.1","102.4","25867"
"Brett Phillips","- - -","225","5","7","80","188","89","70","38","5",".466",".220","4.5%","-11.9","107.8","14735"
"Jose Herrera","ARI","124","0","0","94","121","87","12","31","0",".457",".186","0.0%","-9.4","104.0","17040"
"Will Benson","CLE","61","0","0","96","140","62","12","33","0",".450",".224","0.0%","-4.5","107.6","21853"
"Lorenzo Cain","MIL","156","1","2","79","102","61","36","32","0",".465",".230","0.0%","-12.8","108.9","9077"
"Ernie Clement","- - -","179","0","0","75","65","77","16","31","5",".452",".277","3.6%","-15.0","107.3","20352"
"Donovan Walton","- - -","78","1","0","64","91","15","93","31","3",".482",".228","5.0%","-6.7","107.2","19314"
"Cristian Pache","OAK","260","3","2","76","121","72","50","35","6",".459",".259","3.4%","-20.8","108.6","19948"
"Steven Duggar","- - -","80","0","5","118","229","108","45","28","2",".447",".215","6.3%","-5.5","106.0","17719"
"Chris Owings","BAL","68","0","1","65","159","185","24","27","1",".397",".238","3.0%","-6.3","102.7","10030"
"Andrelton Simmons","CHC","85","0","4","72","68","99","9","27","0",".431",".199","0.0%","-7.1","100.6","10847"
"Michael Hermosillo","CHC","73","0","1","71","164","115","21","27","3",".398",".259","8.6%","-5.5","108.2","16285"
"Juan Lagares","LAA","62","0","0","84","109","41","45","24","1",".460",".242","2.2%","-5.3","107.3","5384"
"Bradley Zimmer","- - -","117","2","3","65","173","54","70","26","7",".435",".225","11.5%","-8.4","108.3","16221"
"Miguel Vargas","LAD","50","1","1","71","115","48","55","26","3",".455",".257","8.6%","-3.8","106.1","20178"
"Michael Papierski","- - -","103","1","0","64","112","116","28","16","0",".415",".217","0.0%","-11.1","101.7","21386"
"Dom Nunez","COL","41","0","0","55","108","175","20","7","1",".395",".245","4.0%","-4.2","103.7","15055"
"Anthony Bemboom","BAL","59","1","0","51","130","128","64","22","2",".418",".246","5.6%","-5.2","106.3","13854"
"Magneuris Sierra","LAA","96","0","6","78","117","52","52","19","0",".442",".212","0.0%","-8.7","107.7","17023"
"Andrew Knapp","- - -","46","0","0","61","116","130","17","22","0",".393",".254","0.0%","-3.8","104.4","14942"
"Austin Romine","- - -","136","3","0","73","150","35","60","15","4",".435",".195","4.7%","-13.9","109.7","5491"
"Mark Contreras","MIN","61","3","1","39","155","21","115","18","12",".441",".304","31.6%","-5.1","109.5","20122"
"Tres Barrera","WSN","53","0","0","91","133","45","13","14","0",".412",".187","0.0%","-5.8","102.9","19977"
"Jeter Downs","BOS","41","1","0","96","231","31","69","8","0",".427",".153","0.0%","-3.8","103.6","22202"
"Jermaine Palacios","MIN","77","2","0","64","158","65","57","14","3",".413",".237","6.5%","-7.4","107.6","18371"
"Jason Castro","HOU","88","1","1","73","205","114","43","13","2",".384",".239","5.1%","-8.3","108.7","8722"
"Jose Barrero","CIN","174","2","4","91","193","62","35","5","2",".401",".180","2.2%","-18.3","108.6","23378"
"David MacKinnon","- - -","57","0","0","71","134","132","0","11","1",".368",".259","2.9%","-5.6","107.0","19625"
"Miguel Sano","MIN","71","1","1","39","158","159","33","9","5",".345",".302","13.9%","-8.0","108.0","12164"
"Chuckie Robinson","CIN","60","2","0","52","125","0","87","-1","4",".407",".260","9.3%","-8.2","108.3","19824"
"Cole Tucker","PIT","63","0","1","99","175","0","31","4","3",".397",".198","7.9%","-6.4","106.5","17326"
"Robinson Cano","- - -","104","1","0","65","106","46","26","6","3",".373",".237","4.0%","-13.1","112.0","3269"
"Yolmer Sanchez","- - -","44","0","0","58","133","143","0","-5","0",".322",".204","0.0%","-6.1","98.8","11602"
"Adalberto Mondesi","KCR","54","0","5","81","167","93","0","-3","1",".344",".211","3.3%","-5.3","105.7","13769"
"Phil Gosselin","- - -","77","0","0","76","140","32","18","-4","1",".357",".207","2.0%","-10.6","102.5","10953"
"Matt Beaty","SDP","47","0","0","39","75","51","45","0","0",".333",".243","0.0%","-5.8","105.4","17710"
"Jonathan Arauz","- - -","41","1","0","53","132","31","53","-3","2",".361",".282","7.1%","-4.9","107.3","20275"
"Niko Goodrum","HOU","45","0","1","86","230","56","31","-14","1",".318",".205","5.0%","-5.0","102.4","12092"
"Billy McKinney","OAK","57","1","0","38","126","88","52","-10","2",".331",".203","5.4%","-9.2","106.5","15654"
"Jose Rojas","LAA","57","0","0","65","150","0","24","-24","1",".301",".182","2.7%","-8.3","107.0","19331"
