,Rank,Player,Team_x,Positions,Yahoo,AVG,Key,Name_x,G,GS,IP,SV,xFIP-,SwStr%,F-Strike%,Barrel%_x,HardHit%,CSW%,K%+_x,BB%+_x,xERA,EV_x,ER,playerid_x,STUFFplus,LOCATIONplus,PITCHINGplus,Total Z-Score_x,Total Z-Score_y,PA,HR,SB,Off,wRC+,wOBA,ISO+,Barrel%_y,BsR,Spd,BB%+_y,K%+_y,Oppo%+,EV_y,maxEV,xwOBA
35,36.0,Justin Verlander,NYM,SP,34.0,370,JusVer,Justin Verlander,28.0,28.0,175.0,0.0,82.0,116,620,63,348,265,125.0,54.0,2.66,87.8,34.0,8700.0,118.2,106.8,108.6,16.28,,,,,,,,,,,,,,,,,
36,37.0,Emmanuel Clase,CLE,RP,30.0,374,EmmCla,Emmanuel Clase,77.0,0.0,72.2,42.0,55.0,167,646,22,322,304,128.0,46.0,1.97,86.3,11.0,21032.0,155.3,104.5,117.7,4.19,,,,,,,,,,,,,,,,,
37,38.0,Randy Arozarena,TB,LFRFDH,42.0,380,RanAro,,,,,,,,,,,,,,,,,,,,,,9.7,645.0,20.0,32.0,13.8,125.0,0.336,122.0,79,-4.3,5.6,90.0,109.0,91.0,89.9,114.1,0.301
38,39.0,Brandon Woodruff,MIL,SP,40.0,388,BraWoo,Brandon Woodruff,27.0,27.0,153.1,0.0,79.0,141,656,70,368,310,135.0,82.0,3.15,88.7,52.0,16162.0,113.5,107.0,108.6,16.75,,,,,,,,,,,,,,,,,
39,40.0,Max Scherzer,NYM,SP,31.0,394,MaxSch,Max Scherzer,23.0,23.0,145.1,0.0,81.0,148,664,84,339,308,135.0,51.0,2.87,87.8,37.0,3137.0,106.2,103.8,105.4,12.42,,,,,,,,,,,,,,,,,
40,41.0,Matt Olson,ATL,1B,39.0,400,MatOls,,,,,,,,,,,,,,,,,,,,,,12.78,699.0,34.0,0.0,15.4,120.0,0.344,153.0,136,-0.8,1.2,128.0,108.0,90.0,92.9,116.8,0.347
41,42.0,Kyle Schwarber,PHI,LF,44.0,408,KylSch,,,,,,,,,,,,,,,,,,,,,,22.39,669.0,46.0,10.0,21.2,128.0,0.355,185.0,201,-0.8,5.2,154.0,132.0,78.0,93.3,114.8,0.375
42,43.0,Dylan Cease,CWS,SP,38.0,422,DylCea,Dylan Cease,32.0,32.0,184.0,0.0,89.0,150,582,62,312,299,137.0,130.0,2.7,86.8,45.0,18525.0,124.0,97.6,106.8,29.35,,,,,,,,,,,,,,,,,
43,44.0,Carlos Rodon,NYY,SP,48.0,432,CarRod,Carlos Rodon,31.0,31.0,178.0,0.0,73.0,141,615,65,397,306,148.0,88.0,2.64,89.0,57.0,16137.0,113.9,103.1,107.1,22.0,,,,,,,,,,,,,,,,,
44,45.0,Luis Robert,CWS,CF,46.0,466,LuiRob,,,,,,,,,,,,,,,,,,,,,,5.84,401.0,12.0,11.0,9.5,111.0,0.324,95.0,89,4.4,4.6,53.0,86.0,113.0,89.3,117.8,0.327
45,46.0,Cedric Mullins ,BAL,CF,53.0,478,CedMul,,,,,,,,,,,,,,,,,,,,,,6.35,672.0,16.0,34.0,7.6,106.0,0.315,97.0,49,3.3,6.6,88.0,84.0,95.0,88.8,109.4,0.288
46,47.0,Jazz Chisholm ,MIA,2B,56.0,484,JazChi,,,,,,,,,,,,,,,,,,,,,,12.18,241.0,14.0,12.0,14.1,139.0,0.365,182.0,166,3.1,7.9,104.0,121.0,76.0,90.2,109.6,0.345
47,48.0,Ozzie Albies,ATL,2B,49.0,494,OzzAlb,,,,,,,,,,,,,,,,,,,,,,-8.85,269.0,8.0,3.0,-0.7,93.0,0.305,104.0,54,1.5,3.3,71.0,77.0,72.0,87.1,106.6,0.297
48,49.0,Shane Bieber,CLE,SP,47.0,496,ShaBie,Shane Bieber,31.0,31.0,200.0,0.0,75.0,138,660,72,429,314,113.0,57.0,3.51,89.9,64.0,19427.0,97.6,102.6,101.7,14.78,,,,,,,,,,,,,,,,,
49,50.0,Alek Manoah,TOR,SP,57.0,502,AleMan,Alek Manoah,31.0,31.0,196.2,0.0,101.0,112,617,54,315,275,103.0,81.0,3.31,87.5,49.0,26410.0,99.6,99.1,99.8,15.09,,,,,,,,,,,,,,,,,
50,51.0,Julio Urias,LAD,SP,41.0,508,JulUri,Julio Urias,31.0,31.0,175.0,0.0,95.0,111,666,67,302,282,107.0,72.0,2.81,86.7,42.0,14765.0,110.2,106.2,108.1,14.48,,,,,,,,,,,,,,,,,
51,52.0,Josh Hader,SD,RP,43.0,518,JosHad,Josh Hader,56.0,0.0,50.0,36.0,74.0,160,525,115,363,319,164.0,116.0,3.51,87.7,29.0,14212.0,116.7,93.2,103.5,14.69,,,,,,,,,,,,,,,,,
52,53.0,Zack Wheeler,PHI,SP,55.0,522,ZacWhe,Zack Wheeler,26.0,26.0,153.0,0.0,77.0,114,672,77,345,277,119.0,68.0,3.1,85.7,48.0,10310.0,110.7,105.9,110.0,6.65,,,,,,,,,,,,,,,,,
53,54.0,Daulton Varsho,TOR,CCFRF,73.0,536,DauVar,,,,,,,,,,,,,,,,,,,,,,5.92,592.0,27.0,16.0,7.7,106.0,0.323,134.0,102,3.4,5.7,93.0,108.0,65.0,87.7,110.3,0.298
54,55.0,Corey Seager,TEX,SS,50.0,544,CorSea,,,,,,,,,,,,,,,,,,,,,,9.89,663.0,33.0,3.0,15.1,117.0,0.331,141.0,105,2.6,3.2,110.0,70.0,95.0,91.1,111.3,0.372
55,56.0,Will Smith,LAD,CDH,79.0,576,WilSmi,Will Smith,65.0,0.0,59.0,5.0,104.0,149,663,59,414,307,111.0,116.0,3.57,88.9,26.0,8048.0,86.4,99.8,96.5,7.56,5.18,578.0,24.0,1.0,14.8,127.0,0.349,132.0,103,-3.6,2.9,116.0,73.0,103.0,89.9,109.0,0.352
56,57.0,Devin Williams,MIL,RP,54.0,584,DevWil,Devin Williams,65.0,0.0,60.2,15.0,60.0,184,579,09,270,339,177.0,151.0,2.04,84.3,13.0,15816.0,115.1,99.6,106.3,21.28,,,,,,,,,,,,,,,,,
57,58.0,Max Fried,ATL,SP,58.0,588,MaxFri,Max Fried,30.0,30.0,185.1,0.0,78.0,120,615,40,319,275,103.0,53.0,2.85,86.2,51.0,13743.0,95.7,100.5,102.0,6.55,,,,,,,,,,,,,,,,,
58,59.0,Adolis Garcia,TEX,CFRFDH,66.0,598,AdoGar,,,,,,,,,,,,,,,,,,,,,,15.64,657.0,27.0,25.0,14.8,112.0,0.324,138.0,129,6.0,6.6,76.0,125.0,87.0,92.1,113.0,0.322
59,60.0,Luis Castillo,SEA,SP,63.0,632,LuiCas,Luis Castillo,25.0,25.0,150.1,0.0,81.0,126,610,68,372,284,121.0,89.0,3.31,89.0,50.0,15689.0,102.4,102.7,102.3,11.17,,,,,,,,,,,,,,,,,
60,60.0,Luis Castillo,SEA,SP,63.0,632,LuiCas,Luis Castillo,25.0,25.0,150.1,0.0,81.0,126,610,68,372,284,121.0,89.0,3.31,89.0,50.0,15689.0,87.0,102.3,99.0,11.17,,,,,,,,,,,,,,,,,
61,61.0,George Springer,TOR,CFRFDH,68.0,634,GeoSpr,,,,,,,,,,,,,,,,,,,,,,12.69,583.0,25.0,14.0,25.7,132.0,0.352,137.0,83,4.6,6.0,116.0,77.0,94.0,88.7,113.6,0.342
62,62.0,Adley Rutschman,BAL,CDH,82.0,644,AdlRut,,,,,,,,,,,,,,,,,,,,,,7.61,470.0,13.0,4.0,22.4,133.0,0.354,128.0,79,5.0,4.2,174.0,82.0,82.0,87.9,110.9,0.342
63,63.0,Kevin Gausman,TOR,SP,65.0,648,KevGau,Kevin Gausman,31.0,31.0,174.2,0.0,69.0,155,680,81,385,298,127.0,48.0,3.34,89.0,65.0,14107.0,109.9,106.7,109.7,11.58,,,,,,,,,,,,,,,,,
64,64.0,Yu Darvish,SD,SP,64.0,650,YuDar,Yu Darvish,30.0,30.0,194.2,0.0,90.0,114,642,90,370,296,113.0,58.0,3.49,88.5,67.0,13074.0,113.8,102.1,104.4,8.35,,,,,,,,,,,,,,,,,
65,65.0,Teoscar Hernandez,SEA,RF,62.0,664,TeoHer,,,,,,,,,,,,,,,,,,,,,,12.21,535.0,25.0,6.0,15.0,129.0,0.348,150.0,150,-2.5,3.8,80.0,128.0,102.0,92.6,114.1,0.351
66,66.0,Cristian Javier,HOU,SPRP,71.0,668,CriJav,Cristian Javier,30.0,25.0,148.2,0.0,89.0,138,559,72,333,283,149.0,111.0,2.43,88.4,42.0,17606.0,116.0,101.1,106.3,16.86,,,,,,,,,,,,,,,,,
67,67.0,Alex Bregman,HOU,3B,78.0,672,AleBre,,,,,,,,,,,,,,,,,,,,,,4.45,656.0,23.0,1.0,23.6,136.0,0.358,131.0,73,-3.0,2.0,167.0,53.0,76.0,88.9,109.2,0.35
68,68.0,Jordan Romano,TOR,RP,51.0,672,JorRom,Jordan Romano,63.0,0.0,64.0,36.0,87.0,147,690,69,456,306,127.0,101.0,3.31,90.3,15.0,16122.0,131.2,99.0,105.7,16.65,,,,,,,,,,,,,,,,,
69,69.0,Starling Marte,NYM,RF,59.0,704,StaMar,,,,,,,,,,,,,,,,,,,,,,7.05,505.0,16.0,18.0,20.8,136.0,0.355,114.0,68,-0.2,6.5,62.0,85.0,97.0,86.8,113.3,0.336
70,70.0,Zac Gallen,ARI,SP,74.0,714,ZacGal,Zac Gallen,31.0,31.0,184.0,0.0,83.0,101,646,78,361,278,119.0,79.0,3.17,87.8,52.0,19291.0,107.3,105.2,106.9,13.83,,,,,,,,,,,,,,,,,
71,71.0,Eloy Jimenez,CWS,LFDH,81.0,714,EloJim,,,,,,,,,,,,,,,,,,,,,,7.7,327.0,16.0,0.0,14.7,144.0,0.37,138.0,147,-1.4,1.0,108.0,99.0,90.0,92.8,113.4,0.365
72,72.0,Ryan Pressly,HOU,RP,60.0,736,RyaPre,Ryan Pressly,50.0,0.0,48.1,33.0,55.0,177,648,58,375,332,161.0,89.0,2.62,89.0,16.0,7005.0,142.4,99.9,110.4,17.2,,,,,,,,,,,,,,,,,
73,73.0,Oneil Cruz,PIT,SS,75.0,746,OneCru,,,,,,,,,,,,,,,,,,,,,,12.85,361.0,17.0,10.0,4.5,106.0,0.32,140.0,155,2.0,6.4,93.0,154.0,89.0,91.9,122.4,0.304
74,74.0,Salvador Perez,KC,CDH,67.0,754,SalPer,,,,,,,,,,,,,,,,,,,,,,1.13,473.0,23.0,0.0,1.4,108.0,0.324,141.0,112,-3.2,1.5,48.0,104.0,88.0,91.4,112.5,0.326
75,75.0,Framber Valdez,HOU,SP,76.0,758,FraVal,Framber Valdez,31.0,31.0,201.1,0.0,76.0,113,593,58,414,288,106.0,101.0,3.31,89.8,63.0,17295.0,110.5,97.3,99.7,15.48,,,,,,,,,,,,,,,,,
76,76.0,Dansby Swanson,CHC,SS,83.0,764,DanSwa,,,,,,,,,,,,,,,,,,,,,,11.12,696.0,25.0,18.0,15.7,116.0,0.337,110.0,108,3.1,4.8,84.0,116.0,102.0,90.2,109.6,0.337
77,77.0,Xander Bogaerts,SD,SS,61.0,774,XanBog,,,,,,,,,,,,,,,,,,,,,,8.39,631.0,15.0,8.0,28.6,134.0,0.363,100.0,65,4.7,3.5,113.0,84.0,103.0,88.1,113.0,0.323
78,78.0,Joe Musgrove,SD,SP,87.0,788,JoeMus,Joe Musgrove,30.0,30.0,181.0,0.0,87.0,110,645,60,324,308,110.0,68.0,3.27,86.4,59.0,12970.0,103.3,102.8,102.5,9.5,,,,,,,,,,,,,,,,,
79,79.0,Jose Abreu,HOU,1BDH,70.0,792,JosAbr,,,,,,,,,,,,,,,,,,,,,,7.92,679.0,15.0,0.0,26.9,137.0,0.361,95.0,95,-1.7,1.4,115.0,73.0,104.0,92.2,113.0,0.373
80,80.0,Raisel Iglesias,ATL,RP,80.0,796,RaiIgl,Raisel Iglesias,67.0,0.0,62.0,17.0,76.0,165,606,106,338,326,142.0,70.0,3.1,87.3,17.0,17130.0,107.2,105.8,105.0,2.2,,,,,,,,,,,,,,,,,
81,81.0,Tommy Edman,STL,2BSS,84.0,796,TomEdm,,,,,,,,,,,,,,,,,,,,,,9.59,630.0,13.0,32.0,14.2,108.0,0.318,87.0,62,8.4,7.2,87.0,78.0,96.0,88.6,112.8,0.308
82,82.0,Bryan Reynolds,PIT,CF,89.0,822,BryRey,,,,,,,,,,,,,,,,,,,,,,8.96,614.0,27.0,7.0,16.0,125.0,0.349,129.0,79,-2.1,4.5,109.0,102.0,100.0,90.2,113.2,0.329
83,83.0,Corbin Carroll,ARI,LF,86.0,828,CorCar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,84.0,Felix Bautista,BAL,RP,77.0,856,FelBau,Felix Bautista,65.0,0.0,65.2,15.0,70.0,151,605,85,362,302,157.0,113.0,2.66,86.8,16.0,20666.0,142.1,96.3,109.9,9.25,,,,,,,,,,,,,,,,,
85,85.0,Andres Gimenez,CLE,2BSS,96.0,856,AndGim,,,,,,,,,,,,,,,,,,,,,,8.81,557.0,17.0,20.0,28.3,140.0,0.364,113.0,62,3.4,5.8,77.0,91.0,94.0,87.8,109.9,0.326
86,86.0,Tyler Glasnow,TB,SP,93.0,870,TylGla,,,,,,,,,,,,,,,,,,157.4,105.5,119.5,,,,,,,,,,,,,,,,,,
87,87.0,Wander Franco,TB,SS,97.0,874,WanFra,,,,,,,,,,,,,,,,,,,,,,1.18,344.0,6.0,8.0,10.3,116.0,0.323,94.0,46,4.0,6.4,95.0,43.0,110.0,87.3,112.4,0.331
88,88.0,Byron Buxton,MIN,CFDH,91.0,880,ByrBux,,,,,,,,,,,,,,,,,,,,,,17.34,382.0,28.0,6.0,19.6,136.0,0.356,203.0,164,4.3,6.5,112.0,137.0,68.0,92.9,113.5,0.358
89,89.0,Ryan Helsley,STL,RP,69.0,886,RyaHel,Ryan Helsley,54.0,0.0,64.2,19.0,66.0,184,632,88,392,327,174.0,101.0,2.04,88.8,9.0,18138.0,145.4,99.0,112.9,16.54,,,,,,,,,,,,,,,,,
90,90.0,Robbie Ray,SEA,SP,92.0,892,RobRay,Robbie Ray,32.0,32.0,189.0,0.0,91.0,135,641,79,391,265,123.0,100.0,3.59,89.7,78.0,11486.0,95.0,99.6,98.5,16.1,,,,,,,,,,,,,,,,,
91,91.0,Triston McKenzie,CLE,SP,98.0,898,TriMcK,Triston McKenzie,31.0,30.0,191.1,0.0,95.0,130,625,98,404,276,115.0,74.0,3.54,90.2,63.0,18000.0,108.9,102.1,104.4,12.06,,,,,,,,,,,,,,,,,
92,92.0,Tim Anderson,CWS,SS,72.0,912,TimAnd,,,,,,,,,,,,,,,,,,,,,,-0.16,351.0,6.0,13.0,6.8,110.0,0.323,63.0,58,2.8,5.6,50.0,71.0,122.0,88.2,108.7,0.34
93,93.0,Vinnie Pasquantino,KC,1BDH,100.0,936,VinPas,,,,,,,,,,,,,,,,,,,,,,2.41,298.0,10.0,1.0,10.4,137.0,0.365,104.0,88,-2.1,1.5,148.0,51.0,87.0,91.2,112.7,0.374
94,94.0,Gunnar Henderson,BAL,3BSS,90.0,940,GunHen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,95.0,Kenley Jansen,BOS,RP,85.0,954,KenJan,Kenley Jansen,65.0,0.0,64.0,41.0,87.0,114,685,73,325,299,145.0,102.0,2.34,87.1,24.0,3096.0,131.5,103.5,104.3,13.53,,,,,,,,,,,,,,,,,
96,96.0,Nestor Cortes ,NYY,SP,101.0,972,NesCor,Nestor Cortes,28.0,28.0,158.1,0.0,92.0,111,673,53,345,283,119.0,77.0,2.7,87.9,43.0,17874.0,106.5,102.8,104.2,15.07,,,,,,,,,,,,,,,,,
97,97.0,Willy Adames,MIL,SS,99.0,980,WilAda,,,,,,,,,,,,,,,,,,,,,,8.97,617.0,31.0,8.0,8.8,109.0,0.325,142.0,130,2.4,3.6,95.0,119.0,101.0,88.9,110.6,0.323
98,98.0,Nathaniel Lowe,TEX,1B,113.0,992,NatLow,,,,,,,,,,,,,,,,,,,,,,10.51,645.0,27.0,2.0,27.2,143.0,0.368,128.0,99,-3.9,2.7,93.0,103.0,121.0,90.3,113.0,0.344
99,99.0,Logan Webb,SF,SP,111.0,1014,LogWeb,Logan Webb,32.0,32.0,192.1,0.0,83.0,106,653,55,389,293,92.0,75.0,3.59,88.9,62.0,17995.0,105.4,103.1,105.2,10.74,,,,,,,,,,,,,,,,,
100,100.0,Carlos Correa,MIN,SS,103.0,1036,CarCor,,,,,,,,,,,,,,,,,,,,,,6.74,590.0,22.0,0.0,20.7,140.0,0.362,118.0,114,-6.0,1.7,130.0,92.0,83.0,89.9,114.6,0.363
101,101.0,Alejandro Kirk,TOR,CDH,130.0,1042,AleKir,,,,,,,,,,,,,,,,,,,,,,0.53,541.0,14.0,0.0,10.4,129.0,0.347,87.0,67,-7.1,1.1,146.0,48.0,119.0,90.5,110.1,0.351
102,102.0,Logan Gilbert,SEA,SP,121.0,1044,LogGil,Logan Gilbert,32.0,32.0,185.2,0.0,96.0,108,637,71,456,251,102.0,80.0,4.11,91.0,66.0,22250.0,102.0,100.9,103.3,12.11,,,,,,,,,,,,,,,,,
103,102.0,Logan Gilbert,SEA,SP,121.0,1044,LogGil,Logan Gilbert,32.0,32.0,185.2,0.0,96.0,108,637,71,456,251,102.0,80.0,4.11,91.0,66.0,22250.0,92.0,98.6,100.1,12.11,,,,,,,,,,,,,,,,,
104,103.0,Camilo Doval,SF,RP,95.0,1044,CamDov,Camilo Doval,68.0,0.0,67.2,27.0,77.0,137,535,46,364,296,124.0,127.0,2.9,85.9,19.0,21992.0,113.2,96.4,101.8,7.13,,,,,,,,,,,,,,,,,
105,104.0,Rhys Hoskins,PHI,1B,114.0,1066,RhyHos,,,,,,,,,,,,,,,,,,,,,,8.55,672.0,30.0,2.0,13.7,122.0,0.345,139.0,111,-3.4,2.8,128.0,111.0,92.0,90.1,112.2,0.338
106,105.0,Tyler ONeill,STL,LFCF,104.0,1066,TylONe,,,,,,,,,,,,,,,,,,,,,,5.11,383.0,14.0,14.0,1.9,101.0,0.307,106.0,113,1.4,5.9,119.0,119.0,89.0,89.8,110.3,0.331
107,106.0,Kyle Wright,ATL,SP,108.0,1068,KylWri,Kyle Wright,30.0,30.0,180.1,0.0,83.0,119,646,68,410,297,104.0,87.0,3.89,89.0,64.0,19665.0,102.9,100.3,100.0,12.77,,,,,,,,,,,,,,,,,
108,107.0,MJ Melendez,KC,CLFRFDH,115.0,1096,MJMel,,,,,,,,,,,,,,,,,,,,,,4.1,534.0,18.0,2.0,-1.1,99.0,0.31,118.0,104,-0.3,3.1,155.0,110.0,91.0,90.7,110.8,0.332
