,Rank,Player,Team_x,Positions,Yahoo,AVG,Key,Name_x,Team_y,G,GS,IP,SV,xFIP-,SwStr%,F-Strike%,Barrel%_x,HardHit%,CSW%,K%+_x,BB%+_x,xERA,EV_x,ER,playerid_x,STUFFplus,LOCATIONplus,PITCHINGplus,Total Z-Score_x,Total Z-Score_y,Name_y,Team,PA,HR,SB,Off,wRC+,wOBA,ISO+,Barrel%_y,BsR,Spd,BB%+_y,K%+_y,Oppo%+,EV_y,maxEV,xwOBA,playerid_y,LaghezzaRank,Total Z-Score,RankDiff
10,11.0,Freddie Freeman,LAD,1B,11.0,112,FreFre,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,Freddie Freeman,LAD,708.0,21.0,13.0,52.6,157.0,0.393,120.0,101,5.4,4.8,142.0,64.0,122.0,91.3,112.3,0.403,5361.0,11.0,20.9,0.0
11,12.0,Vladimir Guerrero,TOR,1BDH,8.0,114,VlaGue,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.74,Vladimir Guerrero,TOR,706.0,32.0,8.0,19.2,132.0,0.351,138.0,112,-6.0,3.1,103.0,74.0,92.0,92.8,118.4,0.348,19611.0,15.0,11.74,3.0
12,13.0,Corbin Burnes,MIL,SP,13.0,118,CorBur,Corbin Burnes,MIL,33.0,33.0,202.0,0.0,72.0,151,580,57,341,321,135.0,77.0,3.05,87.2,66.0,19361.0,126.2,101.9,109.2,17.97,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,7.0
13,14.0,Manny Machado,SD,3B,15.0,130,ManMac,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.94,Manny Machado,SDP,644.0,32.0,9.0,41.9,152.0,0.382,151.0,98,3.0,4.3,117.0,91.0,102.0,91.5,112.4,0.338,11493.0,12.0,16.94,-2.0
14,15.0,Bobby Witt,KC,3BSS,16.0,158,BobWit,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.21,Bobby Witt,KCR,632.0,20.0,30.0,6.3,99.0,0.311,117.0,87,6.8,7.2,60.0,96.0,103.0,89.7,113.7,0.313,25764.0,7.0,11.21,-8.0
15,16.0,Gerrit Cole,NYY,SP,14.0,170,GerCol,Gerrit Cole,NYY,33.0,33.0,200.2,0.0,70.0,143,613,95,399,319,146.0,79.0,3.31,89.4,78.0,13125.0,128.7,102.1,110.4,18.43,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,5.0
16,17.0,Bo Bichette,TOR,SS,18.0,186,BoBic,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.74,Bo Bichette,TOR,697.0,24.0,13.0,20.0,129.0,0.347,120.0,96,-2.7,3.8,74.0,100.0,137.0,91.9,112.4,0.334,19612.0,34.0,11.74,17.0
17,18.0,Pete Alonso,NYM,1BDH,21.0,192,PetAlo,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.87,Pete Alonso,NYM,685.0,40.0,5.0,32.0,143.0,0.366,159.0,123,-2.5,2.9,117.0,83.0,98.0,89.8,116.5,0.354,19251.0,14.0,14.87,-4.0
18,19.0,Fernando Tatis,SD,SS,22.0,198,FerTat,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
19,20.0,Mike Trout,LAA,CF,17.0,204,MikTro,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.31,Mike Trout,LAA,499.0,40.0,1.0,42.4,176.0,0.418,232.0,197,-0.3,3.3,136.0,125.0,109.0,91.6,114.4,0.395,10155.0,16.0,25.31,-4.0
20,21.0,Paul Goldschmidt,STL,1BDH,19.0,210,PauGol,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.49,Paul Goldschmidt,STL,651.0,35.0,7.0,61.6,177.0,0.419,168.0,115,3.0,3.6,145.0,96.0,105.0,90.7,112.3,0.367,9218.0,33.0,22.49,12.0
21,22.0,Rafael Devers,BOS,3B,20.0,218,RafDev,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.42,Rafael Devers,BOS,614.0,27.0,3.0,26.8,140.0,0.373,151.0,115,-1.2,3.1,102.0,84.0,107.0,93.1,113.7,0.361,17350.0,17.0,13.42,-5.0
22,23.0,Austin Riley,ATL,3B,33.0,226,AusRil,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.98,Austin Riley,ATL,693.0,38.0,2.0,32.5,142.0,0.377,165.0,157,-1.7,3.0,98.0,107.0,98.0,92.5,115.9,0.378,18360.0,13.0,17.98,-10.0
23,24.0,Sandy Alcantara,MIA,SP,23.0,232,SanAlc,Sandy Alcantara,MIA,32.0,32.0,228.2,0.0,83.0,122,624,52,385,275,103.0,68.0,2.92,87.8,58.0,18684.0,120.4,105.3,107.4,14.84,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,1.0
24,25.0,Jacob deGrom,TEX,SP,24.0,292,JacdeG,Jacob deGrom,NYM,11.0,11.0,64.1,0.0,39.0,211,699,93,318,354,189.0,40.0,2.24,89.3,22.0,10954.0,139.5,106.8,115.9,13.06,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,-1.0
25,26.0,Marcus Semien,TEX,2BSS,29.0,292,MarSem,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,Marcus Semien,TEX,724.0,26.0,25.0,12.5,107.0,0.317,121.0,68,7.0,6.2,92.0,75.0,91.0,87.3,110.1,0.306,12533.0,39.0,8.75,13.0
26,27.0,Michael Harris,ATL,CF,26.0,294,MicHar,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.67,Michael Harris,ATL,441.0,19.0,20.0,24.4,136.0,0.368,140.0,101,5.9,7.2,57.0,107.0,100.0,89.5,112.8,0.335,25931.0,37.0,13.67,10.0
27,28.0,Jose Altuve,HOU,2B,25.0,312,JosAlt,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.42,Jose Altuve,HOU,604.0,28.0,18.0,41.8,164.0,0.397,156.0,77,-1.5,5.0,137.0,65.0,66.0,85.9,109.8,0.354,5417.0,40.0,11.42,12.0
28,29.0,Nolan Arenado,STL,3B,35.0,314,NolAre,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.86,Nolan Arenado,STL,620.0,30.0,5.0,35.3,151.0,0.381,155.0,82,-1.6,2.6,100.0,51.0,80.0,88.7,111.4,0.339,9777.0,38.0,7.86,9.0
29,30.0,Francisco Lindor,NYM,SS,37.0,322,FraLin,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.15,Francisco Lindor,NYM,706.0,26.0,16.0,25.4,127.0,0.342,116.0,83,3.3,5.6,100.0,83.0,98.0,89.3,110.7,0.331,12916.0,36.0,11.15,6.0
30,31.0,Spencer Strider,ATL,SPRP,27.0,332,SpeStr,Spencer Strider,ATL,31.0,20.0,131.2,0.0,58.0,155,602,61,360,311,169.0,103.0,2.39,88.0,39.0,27498.0,134.3,102.2,111.1,16.8,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,-5.0
31,32.0,Aaron Nola,PHI,SP,32.0,344,AarNol,Aaron Nola,PHI,32.0,32.0,205.0,0.0,70.0,126,701,71,316,324,129.0,43.0,2.74,87.7,74.0,16149.0,107.3,108.9,108.5,11.25,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,-5.0
32,33.0,Edwin Diaz,NYM,RP,28.0,354,EdwDia,Edwin Diaz,NYM,61.0,0.0,62.0,32.0,27.0,247,711,41,381,421,222.0,92.0,1.69,85.5,9.0,14710.0,140.2,100.1,111.2,36.17,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.0
33,34.0,JT Realmuto,PHI,C,45.0,356,JTRea,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.41,JT Realmuto,PHI,562.0,22.0,21.0,24.9,128.0,0.354,131.0,113,6.6,6.9,87.0,94.0,110.0,90.3,110.4,0.351,11739.0,29.0,15.41,-5.0
34,35.0,Shane McClanahan,TB,SP,36.0,360,ShaMcC,Shane McClanahan,TBR,28.0,28.0,166.1,0.0,65.0,155,627,64,325,328,136.0,74.0,2.79,87.6,47.0,21483.0,111.9,103.2,107.4,17.54,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,-13.0
35,36.0,Justin Verlander,NYM,SP,34.0,370,JusVer,Justin Verlander,HOU,28.0,28.0,175.0,0.0,82.0,116,620,63,348,265,125.0,54.0,2.66,87.8,34.0,8700.0,118.2,106.8,108.6,16.28,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,19.0
36,37.0,Emmanuel Clase,CLE,RP,30.0,374,EmmCla,Emmanuel Clase,CLE,77.0,0.0,72.2,42.0,55.0,167,646,22,322,304,128.0,46.0,1.97,86.3,11.0,21032.0,155.3,104.5,117.7,4.19,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,-6.0
37,38.0,Randy Arozarena,TB,LFRFDH,42.0,380,RanAro,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,Randy Arozarena,TBR,645.0,20.0,32.0,13.8,125.0,0.336,122.0,79,-4.3,5.6,90.0,109.0,91.0,89.9,114.1,0.301,19290.0,41.0,9.7,3.0
38,39.0,Brandon Woodruff,MIL,SP,40.0,388,BraWoo,Brandon Woodruff,MIL,27.0,27.0,153.1,0.0,79.0,141,656,70,368,310,135.0,82.0,3.15,88.7,52.0,16162.0,113.5,107.0,108.6,16.75,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,-16.0
39,40.0,Max Scherzer,NYM,SP,31.0,394,MaxSch,Max Scherzer,NYM,23.0,23.0,145.1,0.0,81.0,148,664,84,339,308,135.0,51.0,2.87,87.8,37.0,3137.0,106.2,103.8,105.4,12.42,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,-12.0
40,41.0,Matt Olson,ATL,1B,39.0,400,MatOls,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.78,Matt Olson,ATL,699.0,34.0,0.0,15.4,120.0,0.344,153.0,136,-0.8,1.2,128.0,108.0,90.0,92.9,116.8,0.347,14344.0,71.0,12.78,30.0
41,42.0,Kyle Schwarber,PHI,LF,44.0,408,KylSch,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.39,Kyle Schwarber,PHI,669.0,46.0,10.0,21.2,128.0,0.355,185.0,201,-0.8,5.2,154.0,132.0,78.0,93.3,114.8,0.375,16478.0,35.0,22.39,-7.0
42,43.0,Dylan Cease,CWS,SP,38.0,422,DylCea,Dylan Cease,CHW,32.0,32.0,184.0,0.0,89.0,150,582,62,312,299,137.0,130.0,2.7,86.8,45.0,18525.0,124.0,97.6,106.8,29.35,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,13.0
43,44.0,Carlos Rodon,NYY,SP,48.0,432,CarRod,Carlos Rodon,SFG,31.0,31.0,178.0,0.0,73.0,141,615,65,397,306,148.0,88.0,2.64,89.0,57.0,16137.0,113.9,103.1,107.1,22.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,10.0
44,45.0,Luis Robert,CWS,CF,46.0,466,LuiRob,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84,Luis Robert,CHW,401.0,12.0,11.0,9.5,111.0,0.324,95.0,89,4.4,4.6,53.0,86.0,113.0,89.3,117.8,0.327,20043.0,81.0,5.84,36.0
45,46.0,Cedric Mullins,BAL,CF,53.0,478,CedMul,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.35,Cedric Mullins,BAL,672.0,16.0,34.0,7.6,106.0,0.315,97.0,49,3.3,6.6,88.0,84.0,95.0,88.8,109.4,0.288,17929.0,85.0,6.35,39.0
46,47.0,Jazz Chisholm,MIA,2B,56.0,484,JazChi,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.18,Jazz Chisholm,MIA,241.0,14.0,12.0,14.1,139.0,0.365,182.0,166,3.1,7.9,104.0,121.0,76.0,90.2,109.6,0.345,20454.0,76.0,12.18,29.0
47,48.0,Ozzie Albies,ATL,2B,49.0,494,OzzAlb,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.85,Ozzie Albies,ATL,269.0,8.0,3.0,-0.7,93.0,0.305,104.0,54,1.5,3.3,71.0,77.0,72.0,87.1,106.6,0.297,16556.0,83.0,-8.85,35.0
48,49.0,Shane Bieber,CLE,SP,47.0,496,ShaBie,Shane Bieber,CLE,31.0,31.0,200.0,0.0,75.0,138,660,72,429,314,113.0,57.0,3.51,89.9,64.0,19427.0,97.6,102.6,101.7,14.78,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,14.0
49,50.0,Alek Manoah,TOR,SP,57.0,502,AleMan,Alek Manoah,TOR,31.0,31.0,196.2,0.0,101.0,112,617,54,315,275,103.0,81.0,3.31,87.5,49.0,26410.0,99.6,99.1,99.8,15.09,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,11.0
50,51.0,Julio Urias,LAD,SP,41.0,508,JulUri,Julio Urias,LAD,31.0,31.0,175.0,0.0,95.0,111,666,67,302,282,107.0,72.0,2.81,86.7,42.0,14765.0,110.2,106.2,108.1,14.48,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.0
51,52.0,Josh Hader,SD,RP,43.0,518,JosHad,Josh Hader,  ,56.0,0.0,50.0,36.0,74.0,160,525,115,363,319,164.0,116.0,3.51,87.7,29.0,14212.0,116.7,93.2,103.5,14.69,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,-20.0
52,53.0,Zack Wheeler,PHI,SP,55.0,522,ZacWhe,Zack Wheeler,PHI,26.0,26.0,153.0,0.0,77.0,114,672,77,345,277,119.0,68.0,3.1,85.7,48.0,10310.0,110.7,105.9,110.0,6.65,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,4.0
53,54.0,Daulton Varsho,TOR,CCFRF,73.0,536,DauVar,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.92,Daulton Varsho,ARI,592.0,27.0,16.0,7.7,106.0,0.323,134.0,102,3.4,5.7,93.0,108.0,65.0,87.7,110.3,0.298,19918.0,43.0,5.92,-11.0
54,55.0,Corey Seager,TEX,SS,50.0,544,CorSea,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.89,Corey Seager,TEX,663.0,33.0,3.0,15.1,117.0,0.331,141.0,105,2.6,3.2,110.0,70.0,95.0,91.1,111.3,0.372,13624.0,73.0,9.89,18.0
55,56.0,Will Smith,LAD,CDH,79.0,576,WilSmi,Will Smith,  ,65.0,0.0,59.0,5.0,104.0,149,663,59,414,307,111.0,116.0,3.57,88.9,26.0,8048.0,86.4,99.8,96.5,7.56,5.18,Will Smith,LAD,578.0,24.0,1.0,14.8,127.0,0.349,132.0,103,-3.6,2.9,116.0,73.0,103.0,89.9,109.0,0.352,19197.0,51.0,5.18,-5.0
56,57.0,Devin Williams,MIL,RP,54.0,584,DevWil,Devin Williams,MIL,65.0,0.0,60.2,15.0,60.0,184,579,09,270,339,177.0,151.0,2.04,84.3,13.0,15816.0,115.1,99.6,106.3,21.28,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,-11.0
57,58.0,Max Fried,ATL,SP,58.0,588,MaxFri,Max Fried,ATL,30.0,30.0,185.1,0.0,78.0,120,615,40,319,275,103.0,53.0,2.85,86.2,51.0,13743.0,95.7,100.5,102.0,6.55,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,6.0
58,59.0,Adolis Garcia,TEX,CFRFDH,66.0,598,AdoGar,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.64,Adolis Garcia,TEX,657.0,27.0,25.0,14.8,112.0,0.324,138.0,129,6.0,6.6,76.0,125.0,87.0,92.1,113.0,0.322,19287.0,75.0,15.64,16.0
60,60.0,Luis Castillo,SEA,SP,63.0,632,LuiCas,Luis Castillo,  ,25.0,25.0,150.1,0.0,81.0,126,610,68,372,284,121.0,89.0,3.31,89.0,50.0,15689.0,87.0,102.3,99.0,11.17,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,-2.0
61,61.0,George Springer,TOR,CFRFDH,68.0,634,GeoSpr,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.69,George Springer,TOR,583.0,25.0,14.0,25.7,132.0,0.352,137.0,83,4.6,6.0,116.0,77.0,94.0,88.7,113.6,0.342,12856.0,72.0,12.69,11.0
62,62.0,Adley Rutschman,BAL,CDH,82.0,644,AdlRut,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.61,Adley Rutschman,BAL,470.0,13.0,4.0,22.4,133.0,0.354,128.0,79,5.0,4.2,174.0,82.0,82.0,87.9,110.9,0.342,26288.0,52.0,7.61,-10.0
63,63.0,Kevin Gausman,TOR,SP,65.0,648,KevGau,Kevin Gausman,TOR,31.0,31.0,174.2,0.0,69.0,155,680,81,385,298,127.0,48.0,3.34,89.0,65.0,14107.0,109.9,106.7,109.7,11.58,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,-4.0
64,64.0,Yu Darvish,SD,SP,64.0,650,YuDar,Yu Darvish,SDP,30.0,30.0,194.2,0.0,90.0,114,642,90,370,296,113.0,58.0,3.49,88.5,67.0,13074.0,113.8,102.1,104.4,8.35,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,2.0
65,65.0,Teoscar Hernandez,SEA,RF,62.0,664,TeoHer,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21,Teoscar Hernandez,TOR,535.0,25.0,6.0,15.0,129.0,0.348,150.0,150,-2.5,3.8,80.0,128.0,102.0,92.6,114.1,0.351,13066.0,74.0,12.21,9.0
66,66.0,Cristian Javier,HOU,SPRP,71.0,668,CriJav,Cristian Javier,HOU,30.0,25.0,148.2,0.0,89.0,138,559,72,333,283,149.0,111.0,2.43,88.4,42.0,17606.0,116.0,101.1,106.3,16.86,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,-4.0
